Index,date,num_left,special
0.0,11-12-2018,3,15-05-2019
1.0,12-12-2018,2,24-12-2019
2.0,14-12-2018,3,
3.0,15-12-2018,4,
4.0,15-12-2018,5,
6,12-12-2018,6,
7,16-12-2018,10,
8,16-12-2018,10,
9,16-12-2018,10,
